epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,0.9884302223529933,0.6330957230142567,0.631694133272083,0.7698961937716263,0.6774872866161757
2,0.5745085547145176,0.7956211812627291,0.49100472677537726,0.8171856978085352,0.7294468219706043
3,0.42086384548917566,0.8488798370672098,0.4615567285296826,0.8379469434832757,0.7609420992585498
4,0.32426301116491774,0.8819755600814664,0.4635531129584043,0.8437139561707035,0.7608109270396414
5,0.262065616037598,0.9067209775967413,0.46838527505373045,0.8373702422145328,0.7537664383524688
6,0.21729176941568643,0.9226069246435845,0.4587239949623469,0.8540945790080738,0.7949543938322131
7,0.18369832214901258,0.9310590631364563,0.4760842438800112,0.8598615916955017,0.7934176475959576
8,0.14061119965526092,0.9508146639511201,0.5667445709136119,0.839677047289504,0.7853854840785056
9,0.12628812082035965,0.9575356415478615,0.52059104904584,0.8546712802768166,0.791257720038594
10,0.11765377712104083,0.9599796334012219,0.5737293983413274,0.8321799307958477,0.7721721840795274
11,0.07832439692042267,0.9726069246435846,0.5340760647906839,0.8650519031141869,0.8025683995600965
12,0.05724970459892526,0.979938900203666,0.5338686373269544,0.8679354094579008,0.8092670324486427
13,0.051034404433762955,0.9836048879837067,0.60241487326644,0.8621683967704729,0.8075500521592213
14,0.04089697033789032,0.9877800407331976,0.5444434746463956,0.8690888119953863,0.8053765868363357
15,0.04629024610410837,0.9851323828920571,0.5561575077328027,0.870242214532872,0.8033750280336149
16,0.03783315496743029,0.9884928716904277,0.5585383083306107,0.8708189158016147,0.8093349991112491
17,0.034422387826007976,0.9878818737270876,0.5752668150431007,0.8685121107266436,0.8036330331035032
18,0.024520860500671652,0.9935845213849287,0.571380085254898,0.8737024221453287,0.8145612207051341
19,0.02180612441360981,0.9929735234215886,0.5815574059299394,0.8760092272202998,0.8160571877060994
20,0.021164684494209992,0.9934826883910387,0.58979392711679,0.8719723183391004,0.8140304387804304
21,0.018846876449340504,0.9940936863543788,0.6172429596814042,0.8708189158016147,0.8058220010740853
22,0.023937109093012974,0.9926680244399185,0.5883351715653276,0.8679354094579008,0.811098387904587
23,0.01859290252179818,0.9942973523421589,0.6271764031743509,0.8662053056516724,0.808010595014336
24,0.01703499217423783,0.9943991853360489,0.609637591528095,0.8673587081891581,0.8044099079207757
25,0.015479132663382715,0.995417515274949,0.6109418102476698,0.8737024221453287,0.819962789065586
26,0.01383171843416048,0.9957230142566191,0.6229134633054371,0.8754325259515571,0.8242616147466464
27,0.011709519997125306,0.9962321792260692,0.6280996803593883,0.8737024221453287,0.8158411647500117
28,0.011075034740432156,0.9965376782077393,0.6240135561223673,0.8777393310265282,0.8144949696760536
29,0.01089724245027861,0.9972505091649695,0.6291821481447318,0.8754325259515571,0.8182089816251126
30,0.011813218720008803,0.9962321792260692,0.6273284505670321,0.8788927335640139,0.8254654785917305
