epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,seconds
1,1.7194129924424555,0.42576374745417517,1.4833964274416334,0.6678200692041523,0.5735845072273537,70.27556037902832
2,1.3794583243410845,0.674745417515275,1.3761225431435662,0.7312572087658593,0.6310054111716742,68.00840091705322
3,1.2605595300251016,0.7409368635437882,1.2732415334026157,0.7439446366782007,0.658271344102069,60.08802676200867
4,1.1830670188255077,0.7820773930753564,1.2766024785883285,0.7704728950403691,0.6785935555981554,57.6861355304718
5,1.1401604806818448,0.8065173116089613,1.2118600997407818,0.7773933102652826,0.6945417621716454,58.807968854904175
6,1.0880602821070404,0.8317718940936863,1.2582871490421317,0.7848904267589388,0.6862682409926911,63.4966459274292
7,1.0522458178448337,0.8438900203665988,1.2255097557516659,0.8062283737024222,0.7234075233192053,65.31652045249939
8,1.012891732456728,0.8607942973523421,1.2334597714357034,0.7923875432525952,0.7140744879812729,61.78752779960632
9,0.986895595500037,0.8782077393075356,1.2319738246165346,0.792964244521338,0.7110153311938935,64.22253775596619
10,0.974039918172141,0.8843177189409369,1.2236148310092632,0.8223760092272203,0.744045197720481,63.726205348968506
11,0.9409066694574297,0.8969450101832994,1.18798999747878,0.8114186851211073,0.7372374263904108,63.28289461135864
12,0.9254669862463615,0.9113034623217923,1.2136360516872648,0.8206459054209919,0.7467315144278613,61.68424606323242
13,0.9013953139971327,0.9187372708757637,1.2244212027927033,0.8241061130334487,0.7486250276351258,62.721505880355835
14,0.8894514935322546,0.9240325865580448,1.1964322185571357,0.8264129181084199,0.7429344888452739,59.48231220245361
15,0.8763587354399764,0.9319755600814664,1.2190733041180322,0.825836216839677,0.7564667115108689,60.46808981895447
16,0.8649947259673761,0.9391038696537678,1.2130203212696238,0.8183391003460208,0.7374908013855349,64.45105695724487
17,0.8644849781591878,0.9402240325865581,1.2279914206424525,0.8033448673587081,0.740192481999537,65.98618245124817
18,0.8559098591872485,0.9445010183299389,1.1882220351297275,0.8448673587081892,0.7750183409880851,65.98204636573792
19,0.8472662877162459,0.9482688391038696,1.212999161826973,0.8183391003460208,0.7417640041215422,70.8999571800232
20,0.8347947046615927,0.9562118126272913,1.2019039421345536,0.8114186851211073,0.7358086859082568,67.55639219284058
21,0.8362399453786629,0.9511201629327902,1.194085833935589,0.8414071510957324,0.7630859516517726,68.4544243812561
22,0.8291137793399166,0.9566191446028514,1.187768767861759,0.8373702422145328,0.7678796558654072,62.81990170478821
23,0.813574297583516,0.965173116089613,1.188782626507329,0.8408304498269896,0.7797478705945117,63.86444425582886
24,0.8164039624441423,0.9662932790224033,1.196519318336434,0.842560553633218,0.7735929127580802,65.9617989063263
25,0.8085347279026164,0.9682281059063137,1.211580340425036,0.8385236447520185,0.7702122751527777,62.97337889671326
26,0.8042838374611803,0.9734215885947047,1.2124373508572166,0.8414071510957324,0.7771184847341491,71.18090844154358
27,0.8060825975752168,0.9729124236252545,1.254638324284361,0.8252595155709342,0.7366840750529974,66.58702397346497
28,0.7954293370004099,0.9754582484725051,1.1885613413418041,0.8540945790080738,0.790679216062241,63.613282203674316
29,0.7944278220780755,0.9759674134419551,1.205918368583732,0.8448673587081892,0.7722692053920818,65.55354690551758
30,0.7868776972813422,0.9820773930753565,1.2318691108741013,0.8379469434832757,0.7556456181652704,65.24889731407166
31,0.7873162348255849,0.9804480651731161,1.2312103159287398,0.8350634371395617,0.7647375991633744,65.3754334449768
32,0.7867138858482454,0.9812627291242363,1.20582507872114,0.8419838523644751,0.7693122335693293,60.98825979232788
33,0.783510980392425,0.9821792260692465,1.2099634608320435,0.8448673587081892,0.7747189793644985,60.94608116149902
34,0.7840552786459991,0.9844195519348269,1.2059518534694438,0.8477508650519031,0.784645197218774,61.77479648590088
35,0.7822305083032053,0.9831975560081466,1.2043933703412646,0.8448673587081892,0.7716201315271061,60.750765323638916
36,0.77688995939651,0.9859470468431772,1.2410606177482912,0.8402537485582469,0.7616272197021031,57.24833583831787
37,0.7766628095914293,0.9878818737270876,1.219934111510456,0.8448673587081892,0.769865164018006,56.183037757873535
38,0.7737612412563409,0.9881873727087577,1.2165010013932314,0.8442906574394463,0.7763925830009867,57.301926612854004
39,0.77696245826189,0.9875763747454175,1.2165312747779327,0.8437139561707035,0.7690798707611844,56.761918783187866
40,0.7725250294397902,0.9898167006109979,1.229401901106521,0.8431372549019608,0.7660013908650277,57.03507161140442
41,0.7700096496010992,0.9908350305498982,1.2100071480804937,0.8477508650519031,0.7752042861526275,56.52045965194702
42,0.7697882027344403,0.9896130346232179,1.2199116223411164,0.8494809688581315,0.7755043620262262,56.150073289871216
43,0.7729690829993751,0.990224032586558,1.2158948979163253,0.8442906574394463,0.765585278260246,56.094239473342896
44,0.7736442505706352,0.9903258655804481,1.2075457619685752,0.845444059976932,0.7737433358434725,56.313891649246216
45,0.7736372170525996,0.9920570264765785,1.2129350429037726,0.845444059976932,0.7663884257577935,56.21933388710022
46,0.7693948440784835,0.9921588594704684,1.2159803221657477,0.8471741637831603,0.7688242523546632,56.02672719955444
47,0.7679976756121136,0.9910386965376782,1.216613226145884,0.8471741637831603,0.7717934037728255,56.51997900009155
48,0.7703970628697615,0.9913441955193483,1.214964362301766,0.8494809688581315,0.7733609376965092,56.00344920158386
49,0.7665813937692195,0.9915478615071283,1.212157325073647,0.8494809688581315,0.7787310853799349,56.26304221153259
50,0.7688322036183779,0.9912423625254583,1.2118733146473886,0.8494809688581315,0.7786689714168645,56.26445198059082
